code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002212,2017-04-29,2017-03-31,0.710587,126.655791,0.897625,100.264582,0.225317,0.077134
sz.002212,2017-08-29,2017-06-30,1.727767,104.180685,2.315874,77.724452,0.597280,0.203970
sz.002212,2017-10-30,2017-09-30,2.879727,93.758902,3.474514,77.708717,0.983630,0.343006
sz.002212,2018-04-28,2018-03-31,0.824787,109.119097,0.995652,90.393038,0.275343,0.102251
sz.002212,2018-08-25,2018-06-30,1.987879,90.548791,2.823477,63.751190,0.764590,0.284777
sz.002212,2018-10-31,2018-09-30,3.193199,84.554698,4.424002,61.030710,1.196628,0.443135
sz.002212,2019-04-30,2019-03-31,0.729561,123.361873,1.052487,85.511721,0.315491,0.106117
sz.002212,2019-08-30,2019-06-30,1.735909,103.692087,2.328094,77.316473,0.775411,0.260829
sz.002212,2019-10-31,2019-09-30,2.959854,91.220727,3.688000,73.210408,1.256068,0.428065
sz.002212,2020-04-30,2020-03-31,0.456659,197.083690,0.592936,151.786955,0.177599,0.067462
sz.002212,2020-08-31,2020-06-30,1.415965,127.121796,1.831577,98.275978,0.563581,0.214951
sz.002212,2020-10-30,2020-09-30,2.933669,92.034924,3.820760,70.666562,0.905549,0.355570
sz.002235,2017-04-21,2017-03-31,1.048936,85.801222,3.389941,26.549138,0.103291,0.047227
sz.002235,2017-08-24,2017-06-30,2.388211,75.370235,7.936108,22.681144,0.233647,0.106800
sz.002235,2017-10-27,2017-09-30,3.635128,74.275234,9.932343,27.183919,0.350263,0.161724
sz.002235,2018-04-21,2018-03-31,1.439998,62.500070,4.740031,18.987217,0.158336,0.078177
sz.002235,2018-08-22,2018-06-30,2.247722,80.081093,7.383127,24.379914,0.269346,0.134803
sz.002235,2018-10-26,2018-09-30,3.011197,89.665348,8.722705,30.953700,0.382451,0.186880
sz.002235,2019-04-30,2019-03-31,0.330715,272.138023,1.898711,47.400575,0.087502,0.043969
sz.002235,2019-08-28,2019-06-30,0.617838,291.338726,3.235286,55.636506,0.155827,0.078779
sz.002235,2019-10-26,2019-09-30,0.891696,302.793608,4.637131,58.225653,0.227260,0.114252
sz.002235,2020-04-29,2020-03-31,0.284914,315.884244,1.309741,68.715866,0.064781,0.035969
sz.002235,2020-08-27,2020-06-30,0.580453,310.102851,2.952010,60.975402,0.135080,0.074976
sz.002235,2020-10-28,2020-09-30,0.944655,285.818780,4.597826,58.723402,0.217850,0.121965
